Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100301.0","-3.6744","-3.7473","-3.6479","-3.6474","0.0000"
"100302.0","-3.6221","-3.7527","-3.6479","-3.6474","0.0000"
"100303.0","-3.5749","-3.7467","-3.6478","-3.6474","0.0000"
"100304.0","-3.5632","-3.7303","-3.6477","-3.6474","0.0000"
"100305.0","-3.5504","-3.6987","-3.6476","-3.6474","0.0000"
"100306.0","-3.5504","-3.6703","-3.6475","-3.6474","0.0000"
"100307.0","-3.5664","-3.6452","-3.6475","-3.6474","0.0000"
"100308.0","-3.5646","-3.6234","-3.6474","-3.6474","0.0000"
"100309.0","-3.6420","-3.6051","-3.6474","-3.6474","0.0000"
"100310.0","-3.6132","-3.5922","-3.6473","-3.6474","0.0000"
"100311.0","-3.7962","-3.6044","-3.6475","-3.6474","0.0000"
"100312.0","-3.8648","-3.6286","-3.6477","-3.6474","0.0000"
"100313.0","-3.7350","-3.6446","-3.6478","-3.6474","0.0000"
"100314.0","-3.7633","-3.6646","-3.6479","-3.6474","0.0000"
"100315.0","-3.7098","-3.6806","-3.6480","-3.6474","0.0000"
"100316.0","-3.7181","-3.6973","-3.6480","-3.6474","0.0000"
"100317.0","-3.6389","-3.7046","-3.6480","-3.6474","0.0000"
"100318.0","-3.7126","-3.7194","-3.6481","-3.6474","0.0000"
"100319.0","-3.6673","-3.7219","-3.6481","-3.6474","0.0000"
"100320.0","-3.5906","-3.7196","-3.6481","-3.6474","0.0000"
"100321.0","-3.5851","-3.6985","-3.6480","-3.6474","0.0000"
"100322.0","-3.5187","-3.6639","-3.6479","-3.6474","0.0000"
"100323.0","-3.5089","-3.6413","-3.6477","-3.6474","0.0000"
"100324.0","-3.5828","-3.6233","-3.6477","-3.6474","0.0000"
"100325.0","-3.6014","-3.6124","-3.6476","-3.6474","0.0000"
"100326.0","-3.5464","-3.5953","-3.6475","-3.6474","0.0000"
"100327.0","-3.5812","-3.5895","-3.6475","-3.6474","0.0000"
"100328.0","-3.6275","-3.5810","-3.6474","-3.6474","0.0000"
"100329.0","-3.6593","-3.5802","-3.6474","-3.6474","0.0000"
"100330.0","-3.7757","-3.5987","-3.6476","-3.6474","0.0000"
"100331.0","-3.8592","-3.6261","-3.6478","-3.6474","0.0000"
"100332.0","-3.7462","-3.6489","-3.6479","-3.6474","0.0000"
"100333.0","-3.6598","-3.6639","-3.6479","-3.6474","0.0000"
"100334.0","-3.7495","-3.6806","-3.6480","-3.6474","0.0000"
"100335.0","-3.7213","-3.6926","-3.6481","-3.6474","0.0000"
"100336.0","-3.6039","-3.6984","-3.6480","-3.6474","0.0000"
"100337.0","-3.5164","-3.6919","-3.6479","-3.6474","0.0000"
"100338.0","-3.5111","-3.6802","-3.6478","-3.6474","0.0000"
"100339.0","-3.4717","-3.6615","-3.6476","-3.6474","0.0000"
"100340.0","-3.5326","-3.6372","-3.6475","-3.6474","0.0000"
"100341.0","-3.6467","-3.6159","-3.6475","-3.6474","0.0000"
"100342.0","-3.6339","-3.6047","-3.6475","-3.6474","0.0000"
"100343.0","-3.6367","-3.6024","-3.6474","-3.6474","0.0000"
"100344.0","-3.6752","-3.5950","-3.6475","-3.6474","0.0000"
"100345.0","-3.7633","-3.5992","-3.6476","-3.6474","0.0000"
"100346.0","-3.8062","-3.6194","-3.6477","-3.6474","0.0000"
