Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
531,36:32.4,2232934,2.6117,,,,,
532,36:32.4,2233110,2.6308,,,,,
533,36:32.4,2233404,2.6629,,,,,
534,36:32.4,2233037,2.6229,,,,,
535,36:32.5,2232364,2.5495,,,,,
536,36:32.5,2232514,2.5659,,,,,
537,36:32.5,2232629,2.5784,,,,,
538,36:32.5,2233048,2.6241,,,,,
539,36:32.5,2232511,2.5656,,,,,
540,36:32.5,2232290,2.5415,,,,,
541,36:32.5,2231909,2.5,,,,,
542,36:32.5,2231550,2.4608,,,,,
543,36:32.5,2231321,2.4358,,,,,
544,36:32.6,2230528,2.3494,,,,,
545,36:32.6,2231047,2.4059,,,,,
546,36:32.6,2231305,2.4341,,,,,
547,36:32.6,2231379,2.4422,,,,,
548,36:32.6,2231145,2.4166,,,,,
549,36:32.6,2231898,2.4987,,,,,
550,36:32.6,2232291,2.5416,,,,,
551,36:32.6,2231502,2.4556,,,,,
552,36:32.6,2231643,2.4709,,,,,
553,36:32.6,2232787,2.5957,,,,,
554,36:32.7,2232485,2.5627,,,,,
555,36:32.7,2232707,2.5869,,,,,
556,36:32.7,2232541,2.5688,,,,,
557,36:32.7,2232847,2.6022,,,,,
558,36:32.7,2233296,2.6511,,,,,
559,36:32.7,2233200,2.6407,,,,,
560,36:32.7,2231692,2.4763,,,,,
561,36:32.7,2231940,2.5033,,,,,
562,36:32.7,2232247,2.5368,,,,,
563,36:32.7,2231695,2.4766,,,,,
564,36:32.8,2232464,2.5604,,,,,
565,36:32.8,2233116,2.6315,,,,,
566,36:32.8,2230784,2.3773,,,,,
567,36:32.8,2231225,2.4253,,,,,
568,36:32.8,2230145,2.3076,,,,,
569,36:32.8,2230327,2.3275,,,,,
570,36:32.8,2231603,2.4666,,,,,
571,36:32.8,2231068,2.4083,,,,,
572,36:32.8,2230683,2.3663,,,,,
573,36:32.8,2230683,2.3663,,,,,
574,36:32.9,2230919,2.392,,,,,
575,36:32.9,2230800,2.379,,,,,
576,36:32.9,2230488,2.345,,,,,
577,36:32.9,2229424,2.229,,,,,
578,36:32.9,2228994,2.1822,,,,,
579,36:32.9,2228905,2.1725,,,,,
580,36:32.9,2229840,2.2744,,,,,
581,36:32.9,2231246,2.4277,,,,,
582,36:32.9,2231039,2.4051,,,,,
583,36:32.9,2231538,2.4595,,,,,
584,36:33.0,2231875,2.4962,,,,,
585,36:33.0,2232071,2.5176,,,,,
586,36:33.0,2233062,2.6256,,,,,
587,36:33.0,2232365,2.5497,,,,,
588,36:33.0,2232653,2.581,,,,,
589,36:32.1,2233471,2.6702,,,,,
590,36:32.1,2232075,2.518,,,,,
591,36:32.1,2232600,2.5753,,,,,
592,36:32.1,2231313,2.435,,,,,
593,36:32.1,2230216,2.3154,,,,,
594,36:32.1,2229681,2.257,,,,,
595,36:32.1,2229682,2.2572,,,,,
596,36:32.1,2229648,2.2535,,,,,
597,36:32.1,2230280,2.3223,,,,,
598,36:32.1,2231292,2.4327,,,,,
599,36:32.1,2231049,2.4062,,,,,
600,36:32.1,2230654,2.3631,,,,,
601,36:32.1,2230899,2.3898,,,,,
602,36:32.1,2231221,2.4249,,,,,
603,36:32.1,2231980,2.5077,,,,,
604,36:32.1,2231232,2.4261,,,,,
605,36:32.1,2231328,2.4366,,,,,
606,36:32.1,2231677,2.4747,,,,,
607,36:32.1,2230590,2.3561,,,,,
608,36:32.1,2230778,2.3766,,,,,
609,36:32.1,2230855,2.385,,,,,
610,36:32.1,2230479,2.344,,,,,
611,36:32.1,2229678,2.2567,,,,,
612,36:32.1,2230347,2.3296,,,,,
613,36:32.1,2229910,2.282,,,,,
614,36:32.1,2230826,2.3818,,,,,
615,36:32.1,2231226,2.4255,,,,,
616,36:32.1,2230810,2.3801,,,,,
617,36:32.1,2231247,2.4278,,,,,
618,36:32.1,2231632,2.4697,,,,,
619,36:32.1,2231632,2.4697,,,,,
620,36:32.1,2230642,2.3618,,,,,
